1,2076
2,2095
3,1958
4,1664
5,1402
6,1353
7,1363
8,1370
9,1490
10,1631
11,1776
12,1919
13,1998
14,2112
15,2060
16,1953
17,569
18,2047
19,2062
20,2108
21,2102
22,2150
23,2200
