Temperatures:
Baseline:
19.5, 18.6, 18.2
Experiment:
141.4, 142.8, 175.5, 179.3, 198.4, 198.3, 189.9, 197.9, 196.3, 214.4


Intensity Readings:
Baseline:
3937, 3978, 4021
Experiment:
3450, 3714, 2476, 3077, 3497, 3089, 2713, 2115, 3144, 3362
