Temperatures:
19.9, 21.8, 20.9, 105.5, 117.7, 108.6, 134.7, 120.9, 142.9, 143.5, 139.9, 141.3, 136.3, 136.0, 141.3, 130.6, 147.2, 150.3, 139.9, 139.4

Intensity Readings:
Baseline:
5463, 5448, 5428
Experiment:
6614, 7078, 7450, 5523, 4108, 3948, 4185, 3308, 2516, 2618, 3241, 3702, 4156, 4280, 3965, 3424, 2843, 2461, 2390, 2642
