Temperatures:
Baseline:
23.0, 23.6, 23.5, 22.9
Experiment:
116.6, 146.3, 159.7, 160.1, 182.4, 182.0, 186.6, 177.9, 179.0, 190.8, 199.6, 206.2, 207.9, 209.1, 202.9, 218.2, 218.6, 211.3, 226.0, 230.6, 223.8, 208.3, 218.0


Intensity Readings:
Baseline:
3720, 5017, 4952
Experiment:
4804, 5320, 5403, 5313, 5443, 5914, 6347, 5932, 5568, 4605, 4093, 3642, 3133, 3230, 3024, 2700, 2329, 1841, 2360, 2665, 3186, 3670, 3948
