Testing plywood with and without paper at every 5 seconds. Completed Friday March 8. 

Temperatures:
Baseline on plywood:
12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.5, 12.4, 12.4, 12.4, 12.3, 12.1, 12.0, 11.9, 11.9, 11.8, 11.8, 11.8, 11.8, 11.8, 11.7, 11.7
Baseline with paper on plywood:
13.5, 13.5, 13.5, 13.5, 13.4, 13.3, 13.3, 13.2, 13.2, 13.2, 13.1, 13.1, 13.0, 13.0, 12.9, 12.9, 12.8, 12.8, 12.8, 12.8, 12.8, 12.8, 12.8, 12.7
Experiment with plywood:
35.4, 58.4, 68.0, 81.3, 95.1, 99.7, 104.1, 108.3, 114.3, 117.5, 121.8, 125.6, 130.1, 130.4, 133.7, 135.8, 136.9, 139.2, 140.2, 142.9, 143.8, 149.3, 150.0
Experiment with paper on plywood:
90.2, 88.7, 66.0, 77.7, flame went out ,363.4, 427.0, 453.0, 199.0, 113.0, 65.0, 

Intensity Readings:
Baseline:

Experiment:
